cod_manzana,score_accesibilidad,score_ambiental,score_socioeconomico,score_seguridad,atlas_score,municipio,moran_i,lisa_q,lisa_p,zona_atlas,quintil
0583720090402400010110,0.16666666666666666,0.05638980872630876,0.6306717483632869,1.0,0.6190322461973216,Turbo,0.7436,3,0.001,LL,Q2-Bajo
0514710000000000010405,0.16666666666666666,0.3437606086651349,0.5777266560421365,1.0,0.7104844046934858,Carepa,0.7436,4,0.001,HL,Q3-Medio
0514710000000000010522,0.16666666666666666,0.34161084912840234,0.5684711393997999,1.0,0.7060350755844026,Carepa,0.7436,4,0.001,HL,Q3-Medio
0514710000000000020233,0.16666666666666666,0.3487554756561333,0.5451023991024749,1.0,0.6997058626367487,Carepa,0.7436,4,0.001,HL,Q3-Medio
0514710000000000030520,0.16666666666666666,0.3563743872028065,0.5932180784652101,1.0,0.7214485660858041,Carepa,0.7436,4,0.001,HL,Q4-Alto
0517210000000000010413,0.19047619047619047,0.45885277559053306,0.5465156879617531,1.0,0.7524957913150901,Chigorodó,0.7436,4,0.001,HL,Q4-Alto
0517210000000000010621,0.21428571428571427,0.460171213498046,0.5465156879617531,1.0,0.7622984975156395,Chigorodó,0.7436,4,0.001,HL,Q4-Alto
0517210000000000020112,0.21428571428571427,0.4622236572427847,0.5465156879617531,1.0,0.7630991793715494,Chigorodó,0.7436,4,0.001,HL,Q4-Alto
0517210000000000020211,0.21428571428571427,0.46211895850747,0.5465156879617531,1.0,0.7630583351935211,Chigorodó,0.7436,4,0.001,HL,Q4-Alto
0517210000000000050107,0.21428571428571427,0.45873095626124016,0.5465156879617531,1.0,0.7617366366411044,Chigorodó,0.7436,4,0.001,HL,Q4-Alto
0517210000000000060221,0.21428571428571427,0.46824725811474094,0.5465156879617531,1.0,0.7654490551904514,Chigorodó,0.7436,1,0.294,NS,Q5-Óptimo
0517210000000000060319,0.21428571428571427,0.4693535024212396,0.5465156879617531,1.0,0.7658806137881901,Chigorodó,0.7436,4,0.001,HL,Q5-Óptimo
0517210000000000060615,0.19047619047619047,0.4723683806794501,0.5465156879617531,1.0,0.7577683839472046,Chigorodó,0.7436,4,0.001,HL,Q4-Alto
0549020050300500010202,0.16666666666666666,0.5257147507091992,0.0,1.0,0.5560890056291213,Necoclí,0.7436,3,0.236,NS,Q2-Bajo
0565910000000000010304,0.16666666666666666,0.8614853383043038,0.5907975919940537,1.0,0.9175538845385917,San Juan de Urabá,0.7436,4,0.001,HL,Q5-Óptimo
0566510000000000011022,0.19047619047619047,0.3868511504793928,0.0,1.0,0.511205090211544,San Pedro de Urabá,0.7436,3,0.001,LL,Q2-Bajo
0583720110201800010303,0.16666666666666666,0.10645497241329127,0.6775643418680902,1.0,0.6568565798348123,Turbo,0.7436,4,0.001,HL,Q3-Medio
0583720110201800010318,0.16666666666666666,0.10477598964114299,0.5316026209814727,1.0,0.5992602472111431,Turbo,0.7436,3,0.001,LL,Q2-Bajo
